address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Burmaniastraat 22,,,Surhuisterveen,9231 BV,,184000,house,5,,,https://www.funda.nl/koop/surhuisterveen/huis-40602389-burmaniastraat-22/,1960
Uithof 7,,,Gerkesklooster,9873 RL,,137500,house,4,,,https://www.funda.nl/koop/gerkesklooster/huis-40615914-uithof-7/,1977
Suderheawei 4,,,Surhuizum,9283 XB,,349000,house,5,,,https://www.funda.nl/koop/surhuizum/huis-40625913-suderheawei-4/,1980
West 68,,,Buitenpost,9285 WD,,399000,house,7,,,https://www.funda.nl/koop/buitenpost/huis-40793783-west-68/,1867
Oastkern 16 C,,,Kootstertille,9288 XJ,,465000,house,9,,,https://www.funda.nl/koop/kootstertille/huis-40793878-oastkern-16-c/,2000
Brêgeloane 1,,,Augustinusga,9284 XH,,475000,house,7,,,https://www.funda.nl/koop/augustinusga/huis-40713637-bregeloane-1/,1906
Kuipersweg 3,,,Buitenpost,9285 SN,,249000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-40890034-kuipersweg-3/,1925
Skoalikkers 44,,,Augustinusga,9284 TW,,272500,house,5,,,https://www.funda.nl/koop/augustinusga/huis-40819317-skoalikkers-44/,1936
Ikeloane 45,,,Harkema,9281 RC,,149500,house,6,,,https://www.funda.nl/koop/harkema/huis-49266995-ikeloane-45/,1973
Franklinstraat 6,,,Buitenpost,9285 WT,,449500,house,6,,,https://www.funda.nl/koop/buitenpost/huis-49232897-franklinstraat-6/,1997
De Bosk 11,,,Harkema,9281 NR,,298000,house,5,,,https://www.funda.nl/koop/harkema/huis-49353640-de-bosk-11/,1963
Dahlia-strjitte 49,,,Kootstertille,9288 AD,,150000,house,8,,,https://www.funda.nl/koop/kootstertille/huis-40573694-dahlia-strjitte-49/,1958
Tsjerkepaed 47,,,Twijzelerheide,9287 LR,,179000,house,4,,,https://www.funda.nl/koop/twijzelerheide/huis-40658535-tsjerkepaed-47/,1980
Gysbert Japiksstraat 53,,,Buitenpost,9285 PZ,,239000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-40662993-gysbert-japiksstraat-53/,1964
Warmoltsstrjitte 161,,,Harkema,9281 PP,,235000,house,5,,,https://www.funda.nl/koop/harkema/huis-40675940-warmoltsstrjitte-161/,1959
Boppelânnen 23,,,Twijzel,9286 GE,,299500,house,7,,,https://www.funda.nl/koop/twijzel/huis-40548951-boppelannen-23/,1993
De Buorren 18,,,Drogeham,9289 HG,,160000,house,6,,,https://www.funda.nl/koop/drogeham/huis-40725662-de-buorren-18/,1937
Alde Dyk 32 G,,,Kootstertille,9288 XD,,695000,house,7,,,https://www.funda.nl/koop/kootstertille/huis-40725857-alde-dyk-32-g/,2006
De Havik 55,,,Surhuisterveen,9231 KH,,209000,house,5,,,https://www.funda.nl/koop/surhuisterveen/huis-40732647-de-havik-55/,1986
Jensmastrjitte 4,,,Augustinusga,9284 TR,,129500,house,5,,,https://www.funda.nl/koop/augustinusga/huis-40855191-jensmastrjitte-4/,1972
It Jachtfjild 11,,,Harkema,9281 KV,,595000,house,9,,,https://www.funda.nl/koop/harkema/huis-40885690-it-jachtfjild-11/,2002
De Singel 6,,,Harkema,9281 LK,,225000,house,5,,,https://www.funda.nl/koop/harkema/huis-40889577-de-singel-6/,1971
Master de Boerstrjitte 12,,,Boelenslaan,9233 KS,,285000,house,5,,,https://www.funda.nl/koop/boelenslaan/huis-40881128-master-de-boerstrjitte-12/,1974
Langelaan 77,,,Surhuisterveen,9231 EM,,155000,house,5,,,https://www.funda.nl/koop/surhuisterveen/huis-40895725-langelaan-77/,1951
Dr.Postmastraat 27,,,Buitenpost,9285 RG,,145000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-40491992-drpostmastraat-27/,1972
Himellof 8,,,Buitenpost,9285 KG,,379000,house,6,,,https://www.funda.nl/koop/buitenpost/huis-40514100-himellof-8/,2004
Mounewei 11,,,Twijzel,9286 EH,,219000,house,6,,,https://www.funda.nl/koop/twijzel/huis-40658912-mounewei-11/,1936
De Gaai 14,,,Surhuisterveen,9231 JV,,389000,house,6,,,https://www.funda.nl/koop/surhuisterveen/huis-40679639-de-gaai-14/,1980
Koelstrawei 27,,,Twijzelerheide,9287 NS,,155000,house,5,,,https://www.funda.nl/koop/twijzelerheide/huis-40687302-koelstrawei-27/,1979
Ds Visscherwei 54,,,Boelenslaan,9233 LC,,469000,house,6,,,https://www.funda.nl/koop/boelenslaan/huis-40711464-ds-visscherwei-54/,1937
Hellingstraat 18,,,Stroobos,9872 PT,,595000,house,5,,,https://www.funda.nl/koop/stroobos/huis-40857125-hellingstraat-18/,1975
Groningerstreek 3,,,Stroobos,9871 PE,,157500,house,5,,,https://www.funda.nl/koop/stroobos/huis-40858851-groningerstreek-3/,1900
Optwizel 96,,,Twijzel,9286 EG,,415000,house,6,,,https://www.funda.nl/koop/twijzel/huis-86225856-optwizel-96/,1898
Simke Kloostermanstrjitte 3,,,Twijzel,9286 EP,,257000,house,8,,,https://www.funda.nl/koop/twijzel/huis-40885792-simke-kloostermanstrjitte-3/,1977
