address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Jacoba van Beyerenlaan 22,,,Hazerswoude,2391 EH,,475000,house,5,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-40717071-jacoba-van-beyerenlaan-22/,1993
Willemstraat 10,,,Alphen-aan-den-Rijn,2405 EJ,,179000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40875998-willemstraat-10/,1916
Swadenburgerdam 11,,,Zwammerdam,2471 AR,,295000,house,5,,,https://www.funda.nl/koop/zwammerdam/huis-40876996-swadenburgerdam-11/,1870
Zeewinde 1,,,Alphen-aan-den-Rijn,2403 GE,,450000,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40885519-zeewinde-1/,1974
P. Mondriaanlaan 56,,,Alphen-aan-den-Rijn,2408 DJ,,525000,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40891760-p-mondriaanlaan-56/,2004
Cassiopeiadreef 2,,,Alphen-aan-den-Rijn,2401 HK,,875000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40819238-cassiopeiadreef-2/,2006
Groningenstraat 112,,,Alphen-aan-den-Rijn,2408 GN,,325000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86045097-groningenstraat-112/,1995
Koraalzwam 105,,,Alphen-aan-den-Rijn,2403 ST,,225000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40669863-koraalzwam-105/,1979
Koraalzwam 113,,,Alphen-aan-den-Rijn,2403 ST,,199000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40860331-koraalzwam-113/,1979
Bezembinder 52,,,Alphen-aan-den-Rijn,2401 HM,,210000,apartment,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40874931-bezembinder-52/,1988
Saffierstraat 89,,,Alphen-aan-den-Rijn,2403 XM,,250000,apartment,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40893334-saffierstraat-89/,1976
Marsdiep 10,,,Alphen-aan-den-Rijn,2401 XH,,175000,apartment,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40809233-marsdiep-10/,1973
Preludeweg 564,,,Alphen-aan-den-Rijn,2402 HS,,175000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40804535-preludeweg-564/,1972
Elzenstraat 6,,,Hazerswoude,2391 DT,,750000,house,5,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-49481123-elzenstraat-6/,1988
Warande 35,,,Alphen-aan-den-Rijn,2404 HR,,645000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40511727-warande-35/,2004
Doornenburg 3,,,Alphen-aan-den-Rijn,2402 KL,,450000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40541381-doornenburg-3/,1979
Gouwestraat 6,,,Boskoop,2771 CG,,395000,house,7,,,https://www.funda.nl/koop/boskoop/huis-40670415-gouwestraat-6/,1908
Emmalaan 108,,,Alphen-aan-den-Rijn,2405 GE,,219000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40882198-emmalaan-108/,1938
Prinses Beatrixstraat 31,,,Benthuizen,2731 GA,,295000,house,6,,,https://www.funda.nl/koop/benthuizen/huis-40892921-prinses-beatrixstraat-31/,1969
Wikkestraat 60,,,Alphen-aan-den-Rijn,2403 ES,,300000,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40893120-wikkestraat-60/,1972
Polderpeil 316,,,Alphen-aan-den-Rijn,2408 SE,,345000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40818205-polderpeil-316/,1999
Goudenregenplantsoen 38,,,Alphen-aan-den-Rijn,2404 EJ,,179000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-86276752-goudenregenplantsoen-38/,1962
Lagewaard 79,,,Koudekerk-aan-den-Rijn,2396 AZ,,838000,house,11,,,https://www.funda.nl/koop/koudekerk-aan-den-rijn/huis-49573267-lagewaard-79/,1890
Gouwekade 2,,,Alphen-aan-den-Rijn,2407 BA,,550000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-49277871-gouwekade-2/,1906
Steekterweg 80 g,,,Alphen-aan-den-Rijn,2407 BH,,1125000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86059793-steekterweg-80-g/,2001
Dorpsstraat 70 A B,,,Koudekerk-aan-den-Rijn,2396 HE,,945000,house,5,,,https://www.funda.nl/koop/koudekerk-aan-den-rijn/huis-49268892-dorpsstraat-70-a-b/,1684
Castellumstraat 1 E,,,Alphen-aan-den-Rijn,2405 CB,,1150000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40891304-castellumstraat-1-e/,2000
Brugstraat 19,,,Zwammerdam,2471 AS,,200000,house,4,,,https://www.funda.nl/koop/zwammerdam/huis-40814495-brugstraat-19/,1876
Schoutstraat 5,,,Alphen-aan-den-Rijn,2405 ZB,,235000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40815950-schoutstraat-5/,1989
Raadhuisstraat 253 E,,,Alphen-aan-den-Rijn,2406 AD,,699500,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40607344-raadhuisstraat-253-e/,2009
Bouwnummer (Bouwnr. 39),,,Alphen-aan-den-Rijn,2406 BZ,,540000,house,8,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40686738-bouwnummer-bouwnr-39/,2019
Zuiddijklaan 2,,,Hazerswoude,2391 AL,,475000,house,8,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-40810253-zuiddijklaan-2/,1970
Insteek 72,,,Boskoop,2771 AB,,925000,house,6,,,https://www.funda.nl/koop/boskoop/huis-40897429-insteek-72/,2002
Lissabonstraat 58,,,Alphen-aan-den-Rijn,2408 ED,,439000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40853285-lissabonstraat-58/,1990
Schoener 19,,,Alphen-aan-den-Rijn,2401 MT,,609000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-49165207-schoener-19/,1989
de Bentlanden 6,,,Benthuizen,2731 HA,,350000,house,6,,,https://www.funda.nl/koop/benthuizen/huis-40862139-de-bentlanden-6/,1986
