address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Stationsstraat 54 A,,,Eext,9463 TJ,,579000,house,5,,,https://www.funda.nl/koop/eext/huis-40658365-stationsstraat-54-a/,2000
Rolderdingspillaan 14,,,Rolde,9451 GB,,289000,house,7,,,https://www.funda.nl/koop/rolde/huis-40677647-rolderdingspillaan-14/,1968
Veenakkers 23,,,Gieterveen,9511 RB,,395000,house,10,,,https://www.funda.nl/koop/gieterveen/huis-40614513-veenakkers-23/,1906
Dorpsstraat 55,,,Eexterveen,9658 PH,,337500,house,8,,,https://www.funda.nl/koop/eexterveen/huis-40717597-dorpsstraat-55/,1955
Boerhoorn 1,,,Annen,9468 GG,,169000,house,3,,,https://www.funda.nl/koop/annen/huis-40718921-boerhoorn-1/,1973
Kruisboomlaan 30,,,Grolloo,9444 PM,,175000,house,4,,,https://www.funda.nl/koop/grolloo/huis-40804700-kruisboomlaan-30/,1972
Rolderdingspillaan 5,,,Rolde,9451 GA,,187500,house,4,,,https://www.funda.nl/koop/rolde/huis-40714605-rolderdingspillaan-5/,1965
Hoornstraat 12,,,Gieten,9461 DE,,289000,house,5,,,https://www.funda.nl/koop/gieten/huis-40897385-hoornstraat-12/,2005
Grotenend 3,,,Gasselte,9462 PA,,584500,house,13,,,https://www.funda.nl/koop/gasselte/huis-49128409-grotenend-3/,1906
Bonnen 4,,,Gieten,9461 AD,,374500,house,7,,,https://www.funda.nl/koop/gieten/huis-40894994-bonnen-4/,2012
Asserstraat 25,,,Rolde,9451 AB,,899000,house,6,,,https://www.funda.nl/koop/rolde/huis-49390441-asserstraat-25/,1917
Asserstraat 36,,,Rolde,9451 AD,,598000,house,8,,,https://www.funda.nl/koop/rolde/huis-40524445-asserstraat-36/,1936
Eems 27,,,Gasselternijveen,9514 EE,,224500,house,4,,,https://www.funda.nl/koop/gasselternijveen/huis-40542921-eems-27/,1979
de Zaalsteden 25,,,Gieten,9461 CS,,625000,house,7,,,https://www.funda.nl/koop/gieten/huis-40752433-de-zaalsteden-25/,1970
Greveling 249,,,Annerveenschekanaal,9654 PS,,249000,house,5,,,https://www.funda.nl/koop/annerveenschekanaal/huis-40717264-greveling-249/,1970
Eems 2,,,Gasselternijveen,9514 EG,,280000,house,4,,,https://www.funda.nl/koop/gasselternijveen/huis-40711170-eems-2/,1994
Rolderdingspillaan 7,,,Rolde,9451 GA,,189900,house,4,,,https://www.funda.nl/koop/rolde/huis-40793114-rolderdingspillaan-7/,1965
Rijnskamp 27,,,Rolde,9451 CA,,189000,house,4,,,https://www.funda.nl/koop/rolde/huis-40861166-rijnskamp-27/,1961
Kerkakkers 48,,,Annen,9468 HS,,285000,house,4,,,https://www.funda.nl/koop/annen/huis-40861129-kerkakkers-48/,1994
Amerweg 20,,,Grolloo,9444 PD,,449000,house,8,,,https://www.funda.nl/koop/grolloo/huis-49357850-amerweg-20/,1905
Lottinglaan 3,,,Rolde,9451 KL,,450000,house,9,,,https://www.funda.nl/koop/rolde/huis-40738288-lottinglaan-3/,1960
Nieuwedijk 7,,,Eexterzandvoort,9464 TD,,349000,house,7,,,https://www.funda.nl/koop/eexterzandvoort/huis-85208392-nieuwedijk-7/,1860
Scheepvaartlaan 80,,,Gasselternijveen,9514 EH,,319000,house,7,,,https://www.funda.nl/koop/gasselternijveen/huis-86901903-scheepvaartlaan-80/,1995
Asserstraat 8,,,Gieten,9461 GC,,625000,house,12,,,https://www.funda.nl/koop/gieten/huis-86904649-asserstraat-8/,1910
Brinkstraat 9,,,Anloo,9467 PD,,475000,house,9,,,https://www.funda.nl/koop/anloo/huis-49374094-brinkstraat-9/,1931
Heetlagendijk 2,,,Grolloo,9444 PT,,575000,house,7,,,https://www.funda.nl/koop/grolloo/huis-40534727-heetlagendijk-2/,1997
Schaapstreek 4,,,Eext,9463 PE,,695000,house,5,,,https://www.funda.nl/koop/eext/huis-48099330-schaapstreek-4/,1930
Schuttevaerstraat 7,,,Gasselternijveen,9514 CE,,124500,house,4,,,https://www.funda.nl/koop/gasselternijveen/huis-49367652-schuttevaerstraat-7/,1964
Oosterstraat 13,,,Gasselternijveen,9514 AT,,129500,house,5,,,https://www.funda.nl/koop/gasselternijveen/huis-40577697-oosterstraat-13/,1968
Stationsstraat 13 C-D,,,Gieten,9461 GP,,495000,house,8,,,https://www.funda.nl/koop/gieten/huis-40593238-stationsstraat-13-c-d/,1981
